Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.010455,0,0.20219,0,0,0,17.042,1.285,0.000193,-0.05107,1.1425,0.004162,0.21087,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/base_link.STL,,0_base_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R_shoulder_pitch_Link,0.00837,0.003336,-5.00E-06,0,0,0,0.960035,0.000223,-1.00E-06,0,0.000234,0,0.000366,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_shoulder_pitch_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_shoulder_pitch_Link.STL,,0_shoulder_pitch-1,R_shoulder_pitch,A_R_shoulder_pitch,R_shoulder_pitch_Joint,revolute,-0.00077111,-0.243,0.3909,0,0,0,base_link,0,1,0,25,10,-3.141,1.57,,,,,,,,
R_shoulder_roll_Link,-0.005331,0,-0.032023,0,0,0,0.124895,0.000202,0,-7.00E-06,0.000339,0,0.000182,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_shoulder_roll_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_shoulder_roll_Link.STL,,0_shoulder_roll-1,R_shoulder_roll,A_R_shoulder_roll,R_shoulder_roll_Joint,revolute,0,0,0,0,0,0,R_shoulder_pitch_Link,1,0,0,25,10,-3.141,0.174,,,,,,,,
R_shoulder_yaw_Link,-5.00E-06,-0.004882,0.13572,0,0,0,1.6379,0.034858,1.00E-06,-1.00E-06,0.034723,-0.00144,0.000611,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_shoulder_yaw_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_shoulder_yaw_Link.STL,,0_elbow_yaw-1,R_shoulder_yaw,A_R_shoulder_yaw,R_shoulder_yaw_Joint,revolute,0,0,0,0,0,0,R_shoulder_roll_Link,0,0,1,12,10,-1.57,1.57,,,,,,,,
R_elbow_pitch_Link,-4.00E-06,-8.20E-05,-0.075058,0,0,0,0.82582,0.005782,1.00E-06,0,0.00567,0,0.000601,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_elbow_pitch_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_elbow_pitch_Link.STL,,0_elbow_pitch-1,R_elbow_pitch,A_R_elbow_pitch,R_elbow_pitch_Joint,revolute,0,0,-0.18,0,0,0,R_shoulder_yaw_Link,0,1,0,25,10,-1.221,0,,,,,,,,
R_elbow_yaw_Link,0.004492,0.000528,-0.16669,0,0,0,0.84497,0.024302,-2.90E-05,0.000644,0.02444,7.20E-05,0.000597,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_elbow_yaw_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_elbow_yaw_Link.STL,,0_wrist_yaw-1;wrist_link_1-1;wrist_link_2-1,R_elbow_yaw,A_R_elbow_yaw,R_elbow_yaw_Joint,revolute,0,0,0,0,0,0,R_elbow_pitch_Link,0,0,1,12,10,-1.57,1.57,,,,,,,,
R_wrist_roll_Link,-0.001624,0.015,-0.011132,0,0,0,0.0524,3.40E-05,1.00E-06,-1.00E-06,1.70E-05,9.00E-06,2.50E-05,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_wrist_roll_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/R_wrist_roll_Link.STL,,0_wrist_roll-1,R_wrist_roll,A_R_wrist_roll,R_wrist_roll_Joint,revolute,0,-0.015,-0.2625,0,0,0,R_elbow_yaw_Link,1,0,0,12,10,-0.349,0.349,,,,,,,,
L_shoulder_pitch_Link,0.00837,-0.003336,-5.00E-06,0,0,0,0.960035,0.000223,1.00E-06,0,0.000234,0,0.000366,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/L_shoulder_pitch_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/L_shoulder_pitch_Link.STL,,镜向0_shoulder_pitch-2,L_shoulder_pitch,A_L_shoulder_pitch,L_shoulder_pitch_Joint,revolute,-0.00077111,0.243,0.3909,0,0,0,base_link,0,1,0,25,10,-3.141,1.57,,,,,,,,
L_shoulder_roll_Link,-0.005331,0,-0.032023,0,0,0,0.124895,0.000202,0,-7.00E-06,0.000339,0,0.000182,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/L_shoulder_roll_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/L_shoulder_roll_Link.STL,,镜向0_shoulder_roll-2,L_shoulder_roll,A_L_shoulder_roll,L_shoulder_roll_Joint,revolute,0,0,0,0,0,0,L_shoulder_pitch_Link,1,0,0,25,10,-0.174,3.141,,,,,,,,
L_shoulder_yaw_Link,-5.00E-06,0.004882,-0.135718,0,0,0,1.637925,0.034858,-1.00E-06,-1.00E-06,0.034723,0.00144,0.000611,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/L_shoulder_yaw_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SEAG_2_URDF/meshes/L_shoulder_yaw_Link.STL,,镜向0_elbow_yaw-2,L_shoulder_yaw,A_L_shoulder_yaw,L_shoulder_yaw_Joint,revolute,0,0,0,0,0,0,L_shoulder_roll_Link,0,0,1,12,10,-1.57,1.57,,,,,,,,
